Pitch,Yaw,Roll

-0.4213746563056887 ,-0.10253100935420179 ,-0.4709467798136329
-0.420137030933927 ,-0.10067740175657425 ,-0.4697397144658308
-0.42141891540292753 ,-0.09907421132117893 ,-0.470400920787404
-0.4230627163698094 ,-0.09703814275731638 ,-0.47030583095000494
-0.4224257819991075 ,-0.09317745344037508 ,-0.4688717138087179
-0.4237806966703896 ,-0.08968434008829045 ,-0.4669632963255932
-0.42444692216668173 ,-0.08896648458128645 ,-0.46633384184210913
-0.4245199536086185 ,-0.08945942694900888 ,-0.46761822036140405
-0.4235211417032287 ,-0.08984003517016875 ,-0.4683243436377257
-0.4242945417395438 ,-0.090493281685188 ,-0.4670829674625658
-0.42273203022563155 ,-0.08969802446324635 ,-0.4679691647244351
-0.4239872357331554 ,-0.08816660087025716 ,-0.4686694842296358
-0.42717906445184106 ,-0.0897909959965244 ,-0.4733903796873449
-0.4271340425325933 ,-0.08710619556672845 ,-0.47178728137454623
-0.427414296905525 ,-0.08740043322299125 ,-0.47254083264952085
-0.428112156508714 ,-0.08646202166519448 ,-0.47210687528539824
-0.42787919654357626 ,-0.0865602270687416 ,-0.4724152702078369
-0.4288580438750963 ,-0.08441593773329867 ,-0.47207291578580307
-0.42738145945675615 ,-0.08375121599783453 ,-0.47197165433856714
-0.42734344847104916 ,-0.08230578787172457 ,-0.47227574926309585
-0.4260196563546912 ,-0.08259629496705059 ,-0.4728571360765132
-0.4256054329704851 ,-0.08265477992918766 ,-0.47319738970427955
-0.42480685588595474 ,-0.08268052728437492 ,-0.47354060401847226
-0.42421672419519507 ,-0.08116518086173159 ,-0.47256575437843945
-0.42355990435955565 ,-0.07895642224200357 ,-0.4717281225082215
-0.4225936525361515 ,-0.07781207869180184 ,-0.47259150751452006
-0.42219116362306824 ,-0.07743560468561304 ,-0.47376358934061547
-0.4222810006685236 ,-0.07751119927244106 ,-0.4737812962254676
-0.42148915192549247 ,-0.0773412475270625 ,-0.4731568915921172
-0.4205428840514702 ,-0.0775574585215104 ,-0.4730218526195445
-0.4205466827527243 ,-0.07683773591860003 ,-0.4733332991896924
-0.4214534827815054 ,-0.07689113889214397 ,-0.473249675473261
-0.4225423888544853 ,-0.0766276880663297 ,-0.47355506353624016
-0.42161289317317274 ,-0.07633072696882866 ,-0.4725924041209873
-0.4224510905576615 ,-0.07490871768424272 ,-0.47191934647605555
-0.4235499226283435 ,-0.07424978083553839 ,-0.4722396910075866
-0.4233419986952575 ,-0.07457629891400655 ,-0.47237966978871776
-0.4228841052463148 ,-0.07479851444496058 ,-0.4716177470643215
-0.42392812352346665 ,-0.07518192864177621 ,-0.4712946588319443
-0.4243129187520941 ,-0.07552998662282001 ,-0.4706828104661672
-0.42295773721795166 ,-0.0753945915946339 ,-0.47077669156677926
-0.42327559910789964 ,-0.0741888450335286 ,-0.47134274766102474
-0.4227572192037442 ,-0.07243763612180978 ,-0.47149720991065885
-0.4217358437934253 ,-0.07147204265542978 ,-0.471422616818012
-0.42002176178899125 ,-0.07103606695046148 ,-0.4722152606304777
-0.4195941147549978 ,-0.07018066968115491 ,-0.47263955634712757
-0.4192367761111865 ,-0.07045383229990909 ,-0.4719849752261449
-0.4188592501929854 ,-0.07239991536327212 ,-0.4725672882863226
-0.4184001526345039 ,-0.07293757070571993 ,-0.47363853780626436
-0.4188897365947435 ,-0.07201709071784307 ,-0.47420121815166516
-0.4192104294200135 ,-0.07102138137452707 ,-0.4747511330741863
-0.4189038568808201 ,-0.07017293502018236 ,-0.4748519794140243
-0.41962696604111654 ,-0.07061594536807522 ,-0.4752426005385876
-0.4209711352379285 ,-0.07182274200263496 ,-0.476557093523658
-0.4208254361515978 ,-0.07322197135057938 ,-0.47720851874638814
-0.4216089749164956 ,-0.07366760675059046 ,-0.47691008180817346
-0.42391543319234753 ,-0.07390335718327393 ,-0.4772966197381551
-0.42626141853250316 ,-0.07523810367912258 ,-0.47787233948588875
-0.4276201409832087 ,-0.07576373109845494 ,-0.47789586105252047
-0.42835536223092285 ,-0.07607154122452585 ,-0.47751741171950984
-0.42766822450444336 ,-0.07541014371279348 ,-0.4761444610436983
-0.4270808164434185 ,-0.07439104295256371 ,-0.4759194706458347
-0.42725388947460047 ,-0.0750030608880589 ,-0.4758538008375541
-0.42805665817607697 ,-0.07677982156773812 ,-0.47620402366683223
-0.42742076568293813 ,-0.07734509000138069 ,-0.475627743800864
-0.42669501921858544 ,-0.07657654406300042 ,-0.47546894678000373
-0.42730097541460316 ,-0.07518210814799975 ,-0.47476831029580624
-0.4271631127282597 ,-0.07481803105516927 ,-0.47445641686767537
-0.4271112846840722 ,-0.07545049881178129 ,-0.4751910840390959
-0.4282511299382754 ,-0.07587707794033936 ,-0.47554431729267976
-0.4290359056486144 ,-0.07628471507076603 ,-0.4748949582069201
-0.4291629511368293 ,-0.07638804984862789 ,-0.47540150537300785
-0.42954198081023026 ,-0.07562137968294125 ,-0.4778572005204245
-0.430933861841431 ,-0.07441925150462837 ,-0.47976197935989584
-0.4301318987771433 ,-0.07498156341591412 ,-0.4793459664757353
-0.4302804334978614 ,-0.07720311400010554 ,-0.4797425619762464
