Pitch,Yaw,Roll,asana_id
-0.2248237333285555,-0.2112633281847337,-1.5081302677215962,YFA0047
-0.2670121614166056,-0.2054598791903814,-1.478922563896241,YFA0047
-0.2582561829289153,-0.2158070836935919,-1.5070982556225951,YFA0047
-0.2481936028110177,-0.213567820467668,-1.4924930815143675,YFA0047
-0.2433035496726532,-0.2137323856031273,-1.4903561071554787,YFA0047
-0.2470460441369903,-0.2154795688728475,-1.4920797417069682,YFA0047
-0.2476789721470359,-0.2112852449153199,-1.490476991535765,YFA0047
-0.2428974060603024,-0.2070792903307121,-1.4974445075746672,YFA0047
-0.2398668216013631,-0.2048356648997081,-1.5010699868992814,YFA0047
-0.2361348472079601,-0.2031285712092914,-1.5101270836662442,YFA0047
-0.2316470804754214,-0.1947122459567109,-1.5078240402081815,YFA0047
-0.2297655682743106,-0.1996362854689315,-1.5121592861812452,YFA0047
-0.2288811786559431,-0.2031242908047318,-1.510823483824847,YFA0047
-0.2300233218073181,-0.2085206346201717,-1.509567116055572,YFA0047
-0.2295187277103257,-0.2046414245291232,-1.50371390314704,YFA0047
-0.2296387846520586,-0.2075510682494213,-1.5021225121793074,YFA0047
-0.2302112781370337,-0.2059227570496062,-1.499500567106035,YFA0047
-0.2296047900556391,-0.2070405795739183,-1.5001571914829932,YFA0047
-0.2299664108566391,-0.2026897955710506,-1.4965634598647648,YFA0047
-0.2300629663640955,-0.2064862989451283,-1.4989633898795656,YFA0047
-0.2303571337421699,-0.2056995189601991,-1.4972978620696826,YFA0047
-0.2311096824275409,-0.2088256684283606,-1.498740911765938,YFA0047
-0.2318977910730094,-0.2078602348932883,-1.4985316879716106,YFA0047
-0.2317826248067075,-0.1995280245567085,-1.4956057054200071,YFA0047
-0.232608551738458,-0.2043839329220348,-1.500251378338978,YFA0047
-0.2325135556089967,-0.2026682009404264,-1.499012884823793,YFA0047
-0.233104348709797,-0.2001361391879204,-1.4974070813760756,YFA0047
-0.2345832361249559,-0.2027446711945411,-1.5001549382080426,YFA0047
-0.235131877101179,-0.2035905561418647,-1.501323502686065,YFA0047
-0.2338375353179251,-0.2048811440683949,-1.5044869110119985,YFA0047
-0.2321859188499971,-0.2061135368437111,-1.51005652848256,YFA0047
-0.2307349644713562,-0.2023808704749999,-1.514323910011605,YFA0047
-0.2296329556281819,-0.1983815146175684,-1.5159381955734126,YFA0047
-0.2290740641668996,-0.1977542920457395,-1.5183732841439797,YFA0047
-0.2291647931522806,-0.1969848488637127,-1.5181181312339838,YFA0047
-0.2302846593604431,-0.1996478764945669,-1.517310407893987,YFA0047
-0.2315618519523189,-0.2023202400206686,-1.517663037232344,YFA0047
-0.2312659723573835,-0.1994434310737623,-1.5127004513938405,YFA0047
-0.2312815906135332,-0.204107446967735,-1.513712012106761,YFA0047
-0.2316994793061118,-0.2023383199833509,-1.5128814570175322,YFA0047
-0.2335327803103249,-0.2019709830742425,-1.5121999601227718,YFA0047
-0.2336788530781522,-0.2022165017234639,-1.510836539395542,YFA0047
-0.2334609007183776,-0.2036756626413391,-1.5093038690176377,YFA0047
-0.233500871888363,-0.2062858999935495,-1.5108491348678528,YFA0047
-0.2333549658945157,-0.2025214100425931,-1.5107767269505248,YFA0047
-0.2348298286361687,-0.2076417813112832,-1.5131498825912932,YFA0047
-0.2341098109010587,-0.2025698953190243,-1.510913465743433,YFA0047
-0.2346875593648484,-0.201072623087955,-1.510781113426476,YFA0047
-0.2351395341275997,-0.197490063674097,-1.5092691414887365,YFA0047
-0.2373311093721452,-0.2032536767987011,-1.511093301650291,YFA0047
-0.2365930573628805,-0.1942809193953221,-1.5030348453427056,YFA0047
-0.236352990492995,-0.1959509349962934,-1.502856234187672,YFA0047
-0.2370928820970289,-0.1975145991763345,-1.50542971422204,YFA0047
-0.2374302743732734,-0.1958807771291985,-1.5046540701476412,YFA0047
-0.2377562985965059,-0.1949480161288034,-1.504674701281378,YFA0047
-0.2385354285823075,-0.195410359927059,-1.5055196391533416,YFA0047
-0.2380469417968164,-0.1941724197535485,-1.5067243208584336,YFA0047
-0.2378439599481548,-0.1927003147523963,-1.5083295977891398,YFA0047
-0.2360343560149417,-0.1864706354670023,-1.5073122942763637,YFA0047
-0.2345507025097221,-0.1863416611521667,-1.5082051085762065,YFA0047
-0.2359525221039572,-0.1870558730792754,-1.508315829717807,YFA0047
-0.2386545826356547,-0.1906658205217165,-1.5089686886372446,YFA0047
-0.2394145503190097,-0.1904541227762122,-1.507838285436838,YFA0047
-0.2380377434581229,-0.1935394959484631,-1.508692893364661,YFA0047
-0.2376311763419789,-0.194771715688031,-1.510501561876796,YFA0047
-0.2386736414277743,-0.1938898135972826,-1.5088927515177166,YFA0047
-0.2456201922697723,-0.176460157479955,-1.5032327963555825,YFA0047
-0.2437479052987273,-0.1861417149404336,-1.5049520308548618,YFA0047
-0.2419595361516461,-0.1829628675160543,-1.502019950119248,YFA0047
-0.2445996323998282,-0.1685299108227537,-1.499340050029896,YFA0047
-0.2472715535201028,-0.1573296635203959,-1.4987227095622615,YFA0047
-0.2481849987245021,-0.1637650867023828,-1.4987546754926888,YFA0047
