Pitch,Yaw,Roll

-0.17670966395207827 ,-0.015289272125897826 ,-0.17217029056925814
-0.1840589236111339 ,-0.006227885652714551 ,-0.17997663186894272
-0.1775884795212012 ,-0.006946628824326814 ,-0.17422539857399957
-0.16363898786805228 ,-0.013477377714933826 ,-0.17106685285273637
-0.1614291941692592 ,-0.016016815721430742 ,-0.16720457156024143
-0.16686372472489516 ,-0.015544663244472892 ,-0.16545551978155
-0.17054853916522858 ,-0.014474566180029708 ,-0.16570836932666136
-0.1698803630156343 ,-0.014095165397239798 ,-0.16474113985404423
-0.16925548439868396 ,-0.015083314092355945 ,-0.16284503309428502
-0.17136127642396407 ,-0.015016347241716257 ,-0.16151009741917505
-0.17261930945547596 ,-0.014767120365642842 ,-0.1610727956901109
-0.171360308262048 ,-0.01466966521997537 ,-0.1611514636437496
-0.1704398157610875 ,-0.015585893144984417 ,-0.16067439247235335
-0.17385447116634772 ,-0.016273000112627268 ,-0.15872830698418966
-0.17375075656740557 ,-0.018227862167132385 ,-0.15780009466116407
-0.1722691356044973 ,-0.020202385779127235 ,-0.15718938930216594
-0.16978357769348557 ,-0.020754063691514443 ,-0.15689200767017078
-0.16595686305620375 ,-0.020486901270945653 ,-0.15595677909876718
-0.16329697908237856 ,-0.020671801570397223 ,-0.15489240198232304
-0.16505751240377353 ,-0.01866349017295623 ,-0.15556297299083321
-0.16976628170932118 ,-0.01658240449791844 ,-0.15615169087567438
-0.1734365839858995 ,-0.01683167557892576 ,-0.15690134561678343
-0.17464226387496395 ,-0.016622095003830065 ,-0.1578467509068634
-0.17248810719103824 ,-0.017357711379972357 ,-0.15632392631749653
-0.17131307878375407 ,-0.020059283164992916 ,-0.1536064008705155
-0.1713772290628115 ,-0.02163128172542176 ,-0.15317484564149786
-0.17310447799301348 ,-0.02242708600435622 ,-0.15357577664636352
-0.16999901074306842 ,-0.023075728593469326 ,-0.15693141143481104
-0.16481468363608356 ,-0.028084038279649823 ,-0.15917567250388348
-0.16627632745485016 ,-0.038336949000285024 ,-0.15777017104165778
-0.1690319705497553 ,-0.04243073099341877 ,-0.16076880750484773
-0.17012691312020448 ,-0.04722419635545592 ,-0.15838170029820045
-0.1677972209053039 ,-0.0567406002934116 ,-0.15047115177501677
-0.16512576811755364 ,-0.06219805752454704 ,-0.1489208617846349
-0.1646853148980473 ,-0.061465008406263594 ,-0.15024852988140472
-0.170524506669796 ,-0.06142516366116608 ,-0.1456637613362595
-0.1729497496095497 ,-0.061487984029402885 ,-0.13425429716352266
-0.168757968152772 ,-0.057088746032876406 ,-0.13502584375423488
-0.17935879004324706 ,-0.055103132831181775 ,-0.13876030180980867
-0.18036864374044217 ,-0.055991449669774006 ,-0.13907125075983015
-0.16020147391418416 ,-0.051735887313331674 ,-0.14070189984076673
-0.14866835112812724 ,-0.04971494331342489 ,-0.1348251495215142
-0.1491753781536014 ,-0.04979158975133167 ,-0.13203273978267172
-0.15269544334961385 ,-0.04846587354295433 ,-0.13355032533254246
-0.15551575115072924 ,-0.047207211527586106 ,-0.1345368048383218
-0.1535260400655939 ,-0.048493787593488664 ,-0.1325989371804352
-0.13849319273752606 ,-0.04504718733054092 ,-0.1370788827660276
-0.12859235320302445 ,-0.04322337195689086 ,-0.14192681574211258
-0.12676284906871682 ,-0.043292665369000616 ,-0.14746691728862577
-0.12981149455252294 ,-0.0429341777658982 ,-0.1533676431656164
-0.12564217588056284 ,-0.044469937879240404 ,-0.15642048846301326
-0.12111971805792325 ,-0.04598093098508919 ,-0.15911824762575782
-0.1203219876614156 ,-0.04509388818381579 ,-0.16013363171454745
-0.12663954905051028 ,-0.04460779471744277 ,-0.15864404108424404
-0.1351970395877705 ,-0.04616395583827892 ,-0.15381853257157732
-0.1387004132857481 ,-0.04775873644766984 ,-0.14987817981285076
-0.13651905916453577 ,-0.047558476314538495 ,-0.14750122748128158
-0.1342936028523715 ,-0.047415278625535975 ,-0.14847363254799031
-0.13148884660243407 ,-0.04663146872588919 ,-0.15185160259723732
-0.130671381545749 ,-0.04740208529601343 ,-0.1531931859882611
-0.13016544333768337 ,-0.04766272125931479 ,-0.15363269577070027
-0.13021626777777615 ,-0.04618350889712201 ,-0.15542572860556042
-0.1335222872226471 ,-0.045259003815962116 ,-0.15573468297002638
-0.13630259075260623 ,-0.04530738611240999 ,-0.15368791116422703
-0.13776077185441626 ,-0.044704871752132176 ,-0.1530475166813955
-0.13720447788241616 ,-0.04508004256394688 ,-0.15364857474052826
-0.13824343284544233 ,-0.04521331354119993 ,-0.1547959437940314
-0.1399242025864743 ,-0.04520861850334497 ,-0.15517798249306197
-0.13715681929148305 ,-0.04473181933621834 ,-0.15575785900674657
-0.13684961503948484 ,-0.04335532364193335 ,-0.1569749375829629
-0.13301093884836793 ,-0.04206443905109034 ,-0.1613161996539738
-0.129264481736199 ,-0.041292860673531884 ,-0.16270454216176494
-0.128313665165091 ,-0.040727253423765646 ,-0.16520454733346
-0.1262130807418352 ,-0.038816222050041316 ,-0.1678437954962581
-0.1299787810966729 ,-0.04418708748564515 ,-0.15609809964985824
-0.1290317217170827 ,-0.04669961903679312 ,-0.14977249759178626
-0.12953003303965038 ,-0.04823729945348746 ,-0.15035956665652603
-0.11536787612718516 ,-0.03893318893536785 ,-0.15653952592609932
-0.11892886785571624 ,-0.030829953887039904 ,-0.15857885207382566
-0.15846756885483548 ,-0.03666691012602036 ,-0.16368358831008217
-0.17273214006122892 ,-0.03183571061734978 ,-0.1663429248971428
-0.1552073348488341 ,-0.026686299781292274 ,-0.17142504299453168
-0.1447589780838113 ,-0.02593144242147449 ,-0.16568598198473392
-0.1410196311306305 ,-0.029895069676372225 ,-0.1614436528049134
-0.13114865306714238 ,-0.03258983388041594 ,-0.1624554187953067
-0.12966621943121762 ,-0.03552684447272201 ,-0.1608267767417769
-0.1314980709281811 ,-0.034928582945531986 ,-0.1615668811516611
-0.13158813340994696 ,-0.033154464685958694 ,-0.16054180894288705
-0.13934527121635154 ,-0.03854093839640862 ,-0.15949875456871906
-0.1419899363842637 ,-0.03939434830160248 ,-0.1597513037277364
-0.1347442473531055 ,-0.0375220078837775 ,-0.16146773628004937
-0.14056365192292594 ,-0.03696660998231742 ,-0.16234031048973482
